Sp,lon,lat,Source
Lsol,-147.5416667,70.29166667,OBIS
Lsol,-147.875,70.375,OBIS
Lsol,-145.2916667,70.04166667,OBIS
Lsol,-94.20833333,58.79166667,OBIS
Lsol,-144.9583333,70.04166667,OBIS
Lsol,25.20833333,76.70833333,OBIS
Lsol,15.54166667,76.79166667,OBIS
Lsol,-64.375,60.20833333,GBIF
Lsol,-147.375,70.20833333,GBIF
Lsol,-93.875,58.79166667,GBIF
Lsol,-63.54166667,59.29166667,GBIF
Lsol,-68.95833333,76.625,GBIF
Lsol,-158.375,71.20833333,GBIF
Lsol,-147.5416667,70.375,GBIF
Lsol,-62.625,58.20833333,GBIF
Lsol,-157.625,70.875,GBIF
Lsol,-123.7916667,69.70833333,GBIF
Lsol,-125.4583333,70.04166667,GBIF
Lsol,-125.875,70.125,GBIF
Lsol,-64.45833333,62.45833333,GBIF
Lsol,-67.95833333,62.125,GBIF
Lsol,-81.70833333,69.375,GBIF
Lsol,-84.95833333,76.04166667,GBIF
Lsol,-156.4583333,71.29166667,GBIF
Lsol,11.375,79.95833333,GBIF
Lsol,-163.4583333,69.54166667,Museum
Lsol,-113.5416667,77.875,Museum
Lsol,-119.0416667,76.04166667,Museum
Lsol,-71.95833333,61.625,Museum
Lsol,-69.79166667,62.79166667,Museum
Lsol,-77.875,62.45833333,Museum
Lsol,-105.7916667,75.125,Museum
Lsol,-104.5416667,74.95833333,Museum
Lsol,-105.9583333,74.95833333,Museum
Lsol,-68.45833333,63.70833333,Museum
Lsol,-105.4583333,68.625,Museum
Lsol,-104.375,68.95833333,Museum
Lsol,-95.875,68.625,Museum
Lsol,-86.20833333,66.54166667,Museum
Lsol,-94.45833333,71.95833333,Museum
Lsol,-94.04166667,61.125,Museum
Lsol,-92.29166667,62.79166667,Museum
Lsol,-94.54166667,60.79166667,Museum
Lsol,-115.0416667,68.875,Museum
Lsol,-124.5416667,70.20833333,Museum
Lsol,-124.7916667,70.20833333,Museum
Lsol,-93.375,75.20833333,Museum
Lsol,-105.875,69.20833333,Museum
Lsol,-96.54166667,76.54166667,Museum
Lsol,-91.54166667,70.125,Museum
Lsol,-106.4583333,69.20833333,Museum
Lsol,-97.375,68.54166667,Museum
Lsol,-89.70833333,76.375,Museum
Lsol,-89.875,76.04166667,Museum
Lsol,-92.54166667,75.29166667,Museum
Lsol,-96.54166667,75.375,Museum
Lsol,-84.20833333,75.875,Museum
Lsol,-92.70833333,69.70833333,Museum
Lsol,-96.79166667,75.70833333,Museum
Lsol,-93.79166667,72.70833333,Museum
Lsol,-94.375,72.04166667,Museum
Lsol,-93.95833333,74.625,Museum
Lsol,-107.7083333,76.125,Museum
Lsol,-100.7083333,75.29166667,Museum
Lsol,-99.375,74.95833333,Museum
Lsol,-98.04166667,74.95833333,Museum
Lsol,-85.45833333,75.625,Museum
Lsol,-95.125,77.20833333,Museum
Lsol,-74.79166667,79.375,Museum
Lsol,-75.95833333,79.29166667,Museum
Lsol,-64.79166667,81.625,Museum
Lsol,-61.125,82.45833333,Museum
Lsol,-74.625,78.875,Museum
Lsol,-87.70833333,80.45833333,Museum
Lsol,-74.29166667,78.79166667,Museum
Lsol,-96.95833333,76.875,Museum
Lsol,-104.7916667,68.29166667,Museum
Lsol,-77.95833333,72.70833333,PICKeR
Lsol,-74.875,62.20833333,CAISN DFO
Lsol,-81.04166667,64.04166667,SIMEP
Lsol,-63.70833333,59.45833333,Arctic Amazing Race
Lsol,-64.04166667,67.54166667,Arctic Amazing Race
Lsol,-86.20833333,64.95833333,SIMEP
Lsol,-85.625,65.875,SIMEP
Lsol,-86.20833333,66.29166667,SIMEP
Lsol,-84.70833333,65.95833333,SIMEP
Lsol,-82.95833333,64.875,SIMEP
Lsol,-80.20833333,63.79166667,SIMEP
Lsol,-80.875,63.54166667,SIMEP
Lsol,-81.875,62.95833333,SIMEP
Lsol,-78.79166667,70.20833333,CAISN DFO
Lsol,-78.375,70.20833333,CAISN DFO
Lsol,-78.54166667,70.29166667,CAISN DFO
Lsol,-76.625,72.625,PICKeR
Lsol,11.625,79.04166667,Hop et al 2016
Lsol,12.04166667,78.54166667,Hop et al 2016
Lsol,-70.20833333,60.04166667,Filbee-Dexter et al
Lsol,-69.95833333,59.95833333,Filbee-Dexter et al
Lsol,-69.70833333,60.04166667,Filbee-Dexter et al
Lsol,-83.72746667,75.80698333,Vaga20-9
